City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,z-score
Ahmedabad,2015-01-01,73.24,141.54,0.92,18.22,17.15,24.97528649807415,0.92,27.64,133.36,0.0,0.02,0.0,141.54,Moderate,0.010618280815977746
Ahmedabad,2015-01-02,73.24,141.54,0.97,15.69,16.46,24.97528649807415,0.97,24.55,34.06,3.68,5.5,3.77,141.54,Moderate,0.010618280815977746
Ahmedabad,2015-01-03,73.24,141.54,17.4,19.3,29.7,24.97528649807415,17.4,29.07,30.7,6.8,16.4,2.25,141.54,Moderate,0.010618280815977746
Ahmedabad,2015-01-04,73.24,141.54,1.7,18.48,17.97,24.97528649807415,1.7,18.59,36.08,4.43,10.14,1.0,141.54,Moderate,0.010618280815977746
Ahmedabad,2015-01-05,73.24,141.54,22.1,21.42,37.76,24.97528649807415,22.1,39.33,39.31,7.01,18.89,2.78,141.54,Moderate,0.010618280815977746
Ahmedabad,2015-01-06,73.24,141.54,45.41,38.48,81.5,24.97528649807415,45.41,45.76,46.51,5.42,10.83,1.93,141.54,Moderate,0.010618280815977746
Ahmedabad,2015-01-07,73.24,141.54,112.16,40.62,130.77,24.97528649807415,112.16,32.28,33.47,0.0,0.0,0.0,141.54,Moderate,0.010618280815977746
Ahmedabad,2015-01-08,73.24,141.54,80.87,36.74,96.75,24.97528649807415,80.87,38.54,31.89,0.0,0.0,0.0,141.54,Moderate,0.010618280815977746
Ahmedabad,2015-01-09,73.24,141.54,29.16,31.0,48.0,24.97528649807415,29.16,58.68,25.75,0.0,0.0,0.0,141.54,Moderate,0.010618280815977746
Ahmedabad,2015-01-10,73.24,141.54,80.615,7.04,0.0,24.97528649807415,80.615,8.29,4.55,0.0,0.0,0.0,141.54,Moderate,0.010618280815977746
Ahmedabad,2015-01-11,73.24,141.54,132.07,55.8,24.53,24.97528649807415,132.07,25.03,6.79,0.0,0.0,0.0,141.54,Moderate,0.010618280815977746
Ahmedabad,2015-01-12,73.24,141.54,52.04,40.67,90.24,24.97528649807415,52.04,51.84,45.89,2.41,0.03,7.88,141.54,Moderate,0.010618280815977746
Ahmedabad,2015-01-13,73.24,141.54,48.82,44.2,87.09,24.97528649807415,48.82,68.21,35.16,9.45,13.35,12.5,141.54,Moderate,0.010618280815977746
Ahmedabad,2015-01-14,73.24,141.54,19.2,27.86,33.05,24.97528649807415,19.2,52.65,20.96,2.16,2.26,5.19,141.54,Moderate,0.010618280815977746
Ahmedabad,2015-01-15,73.24,141.54,0.6,16.96,16.6,24.97528649807415,0.6,28.89,47.63,0.14,0.04,1.35,141.54,Moderate,0.010618280815977746
Ahmedabad,2015-01-16,73.24,141.54,1.63,21.72,22.86,24.97528649807415,1.63,38.27,46.03,0.35,0.05,2.01,141.54,Moderate,0.010618280815977746
